horizon,n,MAE,RMSE,sMAPE,R2,Bias,model,station_id,station_name,site_type,seed,epochs,train_start
48,11065,6.4935231211144515,9.646922536743785,57.1072552744158,-0.3999442132121813,0.08685042942965457,seasonal_naive,MY1,London Marylebone Road,Urban Traffic,3,30,station_available_history
1,11065,2.79403196331122,3.9891664216971052,29.140243992072794,0.7613564275180424,-0.023990989391263987,xgboost,MY1,London Marylebone Road,Urban Traffic,3,30,station_available_history
6,11065,4.186720990528632,5.923858219802737,39.67036207773238,0.4739208377938361,0.23973914034971003,xgboost,MY1,London Marylebone Road,Urban Traffic,3,30,station_available_history
12,11065,4.756837009874556,6.759708550342009,43.52180205266801,0.31420217161284303,0.4657556752920474,xgboost,MY1,London Marylebone Road,Urban Traffic,3,30,station_available_history
24,11065,5.236224648942249,7.498576825472941,46.18389812888145,0.1539974152373873,0.6834597864007713,xgboost,MY1,London Marylebone Road,Urban Traffic,3,30,station_available_history
48,11065,5.6230392900113335,8.296039674347204,48.53148867349248,-0.03532043919542005,0.4586327969273775,xgboost,MY1,London Marylebone Road,Urban Traffic,3,30,station_available_history
1,11065,2.9280292256165024,4.24209931232891,31.33135267276239,0.7301346688799328,-0.02185167400372605,dlinear,MY1,London Marylebone Road,Urban Traffic,3,30,station_available_history
6,11065,4.264465859178176,5.968767583832437,40.580203699912836,0.4659140844885844,0.15530879603916845,dlinear,MY1,London Marylebone Road,Urban Traffic,3,30,station_available_history
12,11065,4.640360850332767,6.659508463500886,42.5740442340947,0.3343828349299274,0.1680011171132151,dlinear,MY1,London Marylebone Road,Urban Traffic,3,30,station_available_history
24,11065,5.004961914222703,7.177732287067076,45.04978761464233,0.2248450735702756,0.22867684820847872,dlinear,MY1,London Marylebone Road,Urban Traffic,3,30,station_available_history
48,11065,5.350070162523509,7.707465462645044,48.054680455769855,0.10637291804624482,0.24194582765639985,dlinear,MY1,London Marylebone Road,Urban Traffic,3,30,station_available_history
1,11065,2.889524923335682,4.156465029101951,30.175338192480137,0.7409201159758835,-0.3562097185535017,lstm,MY1,London Marylebone Road,Urban Traffic,3,30,station_available_history
6,11065,3.9435943757981344,5.5892956192792,38.07590085861982,0.5316657183724056,0.011198206479550485,lstm,MY1,London Marylebone Road,Urban Traffic,3,30,station_available_history
12,11065,4.41798419635381,6.3303854622490014,41.381149808992134,0.39854869236981993,-0.046432553361672055,lstm,MY1,London Marylebone Road,Urban Traffic,3,30,station_available_history
24,11065,4.7485123056633896,6.957875613172618,43.340178491345505,0.2716043888280033,-0.06805305789349793,lstm,MY1,London Marylebone Road,Urban Traffic,3,30,station_available_history
48,11065,5.1308754176911435,7.547838338416464,45.89969469138616,0.14300492371367313,-0.09243349244946869,lstm,MY1,London Marylebone Road,Urban Traffic,3,30,station_available_history
1,11065,4.498728629379751,6.732935997516901,40.84825626085725,0.3201792684720277,-0.5974259106567743,timemixer,MY1,London Marylebone Road,Urban Traffic,3,30,station_available_history
6,11065,4.799188753751086,7.1140355208706065,43.41344412241831,0.2412934259034365,-0.4712530581944677,timemixer,MY1,London Marylebone Road,Urban Traffic,3,30,station_available_history
12,11065,5.036199630095956,7.31226770373979,45.44180327275306,0.19750131768342793,0.08814303597820004,timemixer,MY1,London Marylebone Road,Urban Traffic,3,30,station_available_history
24,11065,5.064646885826531,7.516937081992142,45.53239456570334,0.14984947066461818,-0.5214118565604852,timemixer,MY1,London Marylebone Road,Urban Traffic,3,30,station_available_history
48,11065,5.10381137506756,7.753981446985139,45.96794975041621,0.09555395851199777,-0.8791630022917944,timemixer,MY1,London Marylebone Road,Urban Traffic,3,30,station_available_history
